Vendor,Reachable,Has ONPI,HTTPS ORG URL,Findable Metadata,Findable SMART,Findable OpenAPI Docs,Findable OpenAPI JSON,Findable Swagger,Findable Swagger JSON
ezemrx_inc,True,True,https://services.ezemrx.com/ezEMRx/api-server/r4,https://services.ezemrx.com/ezEMRx/api-server/r4/metadata,https://services.ezemrx.com/ezEMRx/api-server/r4/.well-known/smart-configuration,False,False,False,False
flatiron_health,True,True,https://fhir.prod.flatiron.io/fhir,https://fhir.prod.flatiron.io/fhir/metadata,https://fhir.prod.flatiron.io/fhir/.well-known/smart-configuration,False,False,False,False
geniusdoc_inc,True,True,https://api.geniusdoc.com:4434/GDAPIData,https://api.geniusdoc.com:4434/GDAPIData/metadata,https://api.geniusdoc.com:4434/GDAPIData/.well-known/smart-configuration,False,False,False,False
harris_caretracker_inc,True,False,https://ct-fhir.harrisambulatory.com/ct-15240/fhir/r4,https://ct-fhir.harrisambulatory.com/ct-15240/fhir/r4/metadata,https://ct-fhir.harrisambulatory.com/ct-15240/fhir/r4/.well-known/smart-configuration,False,False,https://ct-fhir.harrisambulatory.com/swagger,False
healogics_inc,True,True,https://sfp-g10fhirproxy.azurewebsites.net/fhir,https://sfp-g10fhirproxy.azurewebsites.net/fhir/metadata,https://sfp-g10fhirproxy.azurewebsites.net/fhir/.well-known/smart-configuration,False,False,False,False
infinx_solutions_llc,True,True,https://fhir.healthtogo.me/fhir/r4/imed.bourque,https://sandbox-r4.interopengine.com/fhir/r4/imedemr/metadata,https://sandbox-r4.interopengine.com/fhir/r4/imedemr/.well-known/smart-configuration,False,False,False,False
infinx_solutions_llc_2,True,True,https://fhir.healthtogo.me/fhir/r4/imed.bourque,https://sandbox-r4.interopengine.com/fhir/r4/imedemr/metadata,https://sandbox-r4.interopengine.com/fhir/r4/imedemr/.well-known/smart-configuration,False,False,False,False
infor_med_medical_information_systems_inc,True,False,https://inferno.healthit.gov/suites/custom/service_base_url/examples/CapabilityStatement,https://inferno.healthit.gov/suites/custom/service_base_url/examples/CapabilityStatement/metadata,https://wc.praxisclouds.net/Erika/api/v1/.well-known/smart-configuration,False,False,https://wc.praxisclouds.net/Erika/swagger,False
mckesson_specialty_health_technology_products_llc_ontada,True,True,https://g2fhir.mckesson.com/xfhir,https://g2fhir.mckesson.com/xfhir/metadata,https://g2fhir.mckesson.com/xfhir/.well-known/smart-configuration,False,False,False,False
mckesson_specialty_health_technology_products_llc_ontada_2,True,True,https://g2fhir.mckesson.com/xfhir,https://g2fhir.mckesson.com/xfhir/metadata,https://g2fhir.mckesson.com/xfhir/.well-known/smart-configuration,False,False,False,False
